1313 13
49	31709	3	2	10	0.115	8	8.10000000000000000000e+02	2.30000000000000000000e+01	2.83454149961471557617e-01	8.86614704132080078125e+00	0.525	0.8275766372680664
50	31709	3	1	40	0.642	8	8.28000000000000000000e+02	2.40000000000000000000e+01	2.89308816194534301758e-01	8.96522617340087890625e+00	0.925	0.8418530225753784
51	31716	4	2	5	0.809	119	6.85000000000000000000e+02	2.10000000000000000000e+01	6.72663927078247070312e-01	1.88722884654998779297e+00	0.55	1.0602515935897827
52	31716	4	2	11	0.582	119	6.74000000000000000000e+02	1.80000000000000000000e+01	5.05688548088073730469e-01	1.77163052558898925781e+00	0.625	0.7648335695266724
53	31716	4	1	50	0.625	119	6.67000000000000000000e+02	1.60000000000000000000e+01	4.02814328670501708984e-01	1.70040988922119140625e+00	0.55	0.5828253030776978
54	31723	4	2	8	0.673	119	6.71000000000000000000e+02	1.70000000000000000000e+01	4.57371056079864501953e-01	1.73817992210388183594e+00	0.525	0.6793488264083862
55	31723	4	2	8	0.673	119	6.85000000000000000000e+02	2.10000000000000000000e+01	6.74035549163818359375e-01	1.88817846775054931641e+00	0.525	1.0626782178878784
56	31723	4	2	8	0.711	119	6.72000000000000000000e+02	1.70000000000000000000e+01	4.82230454683303833008e-01	1.75539028644561767578e+00	0.55	0.7233307957649231
57	31739	4	1	53	0.338	119	6.81000000000000000000e+02	2.00000000000000000000e+01	6.05556488037109375000e-01	1.84076988697052001953e+00	0.7000000000000001	0.941523015499115
58	31739	4	2	7	0.122	119	6.76000000000000000000e+02	1.80000000000000000000e+01	5.37896037101745605469e-01	1.79392802715301513672e+00	0.42500000000000004	0.821816086769104
59	31761	3	1	1	0.135	8	8.24000000000000000000e+02	2.40000000000000000000e+01	2.87746399641036987305e-01	8.93878555297851562500e+00	0.775	0.8380431532859802
60	31761	3	1	1	0.134	8	8.01000000000000000000e+02	2.30000000000000000000e+01	2.80579328536987304688e-01	8.81749629974365234375e+00	0.775	0.8205665349960327
61	31761	3	1	65	0.427	8	9.34000000000000000000e+02	2.60000000000000000000e+01	3.23040366172790527344e-01	9.53606796264648437500e+00	1.55	0.9241061806678772
62	31761	3	1	29	0.138	8	5.00000000000000000000e+02	1.60000000000000000000e+01	1.83902204036712646484e-01	7.18142175674438476562e+00	1.425	0.5848230719566345
63	31761	3	1	30	0.397	8	3.90000000000000000000e+02	1.40000000000000000000e+01	1.48643225431442260742e-01	6.58473157882690429688e+00	1.35	0.4988453984260559
64	31761	3	1	30	0.251	8	6.49000000000000000000e+02	2.00000000000000000000e+01	2.31607437133789062500e-01	7.98874139785766601562e+00	1.375	0.7011504173278809
65	31761	3	0	0	0.000	8	6.11000000000000000000e+02	1.90000000000000000000e+01	2.19528540968894958496e-01	7.78432893753051757812e+00	0.8500000000000001	0.6716965436935425
66	31761	3	1	31	0.088	8	1.09600000000000000000e+03	3.00000000000000000000e+01	3.75226289033889770508e-01	1.04192142486572265625e+01	1.075	1.0513594150543213
67	31761	3	1	47	0.435	8	9.81000000000000000000e+02	2.70000000000000000000e+01	3.38210940361022949219e-01	9.79280090332031250000e+00	0.55	0.9610990285873413
68	31761	3	1	48	0.306	8	9.06000000000000000000e+02	2.50000000000000000000e+01	3.14113467931747436523e-01	9.38499736785888671875e+00	0.5750000000000001	0.9023382663726807
69	31761	3	1	48	0.508	8	5.25000000000000000000e+02	1.70000000000000000000e+01	1.92015349864959716797e-01	7.31872129440307617188e+00	0.6000000000000001	0.6046066880226135
70	31761	3	2	17	0.421	8	8.46000000000000000000e+02	2.40000000000000000000e+01	2.94830054044723510742e-01	9.05866241455078125000e+00	0.9750000000000001	0.8553164005279541
71	31761	3	2	17	0.388	8	4.50000000000000000000e+02	1.50000000000000000000e+01	1.67887821793556213379e-01	6.91040945053100585938e+00	1.0	0.5457726120948792
72	31761	3	2	17	0.375	8	5.51000000000000000000e+02	1.80000000000000000000e+01	2.00363129377365112305e-01	7.45999145507812500000e+00	1.0	0.6249623894691467
73	31761	3	2	22	0.220	8	4.68000000000000000000e+02	1.60000000000000000000e+01	1.73489123582839965820e-01	7.00520086288452148438e+00	1.225	0.5594311952590942
